Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric,-54.8132,56.7436,180.0,top
C2,0.1uf,C_0603_1608Metric,-50.5688,71.4696,90.0,top
C4,0.1uf,C_0603_1608Metric,-68.326,71.5264,-90.0,top
C5,0.1uf,C_0603_1608Metric,-66.35995,71.5764,-90.0,top
C6,0.1uf,C_0603_1608Metric,-64.2988,71.5496,-90.0,top
C7,0.1uf,C_0603_1608Metric,-46.5328,68.2752,-90.0,top
C8,0.1uf,C_0603_1608Metric,-68.2244,42.9768,180.0,top
C9,10uf,C_0603_1608Metric,-68.335,46.736,180.0,top
C10,1.0uf,C_0603_1608Metric,-42.3672,44.8564,0.0,top
C11,2.2uf,C_0603_1608Metric,-42.4188,41.5696,0.0,top
D1,MMDL914,D_SOD-523,-54.8888,59.3696,180.0,top
R1,390,R_0603_1608Metric,-43.4016,72.1868,-90.0,top
R2,100,R_0603_1608Metric,-40.4876,72.1868,-90.0,top
R3,390,R_0603_1608Metric,-37.9188,72.2696,-90.0,top
R4,390,R_0603_1608Metric,-43.4848,68.2752,-90.0,top
R5,100,R_0603_1608Metric,-40.5892,68.1646,-90.0,top
R6,390,R_0603_1608Metric,-37.9188,68.3696,-90.0,top
R7,10k,R_0603_1608Metric,-74.8284,64.1604,-90.0,top
R8,10k,R_0603_1608Metric,-67.056,64.3128,-90.0,top
R9,10k,R_0603_1608Metric,-71.628,64.1604,-90.0,top
R10,4.7k,R_0603_1608Metric,-60.96,53.34,-90.0,top
R11,4.7k,R_0603_1608Metric,-63.3984,53.2892,-90.0,top
R12,10k,R_0603_1608Metric,-80.8826,42.2148,0.0,top
R13,10k,R_0603_1608Metric,-86.8172,42.1132,0.0,top
U5,AP2210N-3.0,SOT95P280X145-3N,-50.573853,42.672,0.0,top
