Designator,Mid X,Mid Y,Rotation,Layer
C1,-54.8132,56.7436,180.0,top
C10,-42.3672,44.8564,0.0,top
C11,-42.4188,41.5696,0.0,top
C2,-54.5084,49.6824,180.0,top
C3,-60.8584,67.9196,0.0,top
C4,-68.326,71.5264,270.0,top
C5,-65.47995,71.5264,270.0,top
C6,-62.6339,71.5264,270.0,top
C7,-46.5328,68.2752,270.0,top
C8,-68.2244,42.9768,180.0,top
C9,-68.335,46.736,180.0,top
D1,-54.8132,59.0804,180.0,top
F1,-52.9844,71.8222,270.0,top
FB1,-49.9364,71.8312,90.0,top
J6,-92.6592,56.388,270.0,top
R1,-43.4016,72.1868,270.0,top
R10,-60.96,53.34,270.0,top
R11,-63.3984,53.2892,270.0,top
R12,-80.8826,42.2148,0.0,top
R13,-86.8172,42.1132,0.0,top
R2,-40.4876,72.1868,270.0,top
R3,-37.9188,72.2696,270.0,top
R4,-43.4848,68.2752,270.0,top
R5,-40.5892,68.1646,270.0,top
R6,-37.9188,68.3696,270.0,top
R7,-74.8284,64.1604,270.0,top
R8,-67.056,64.3128,270.0,top
R9,-71.628,64.1604,270.0,top
U1,-55.0672,62.738,0.0,top
U2,-55.0672,53.7464,0.0,top
U5,-50.3428,42.672,0.0,top
